px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.79907	-8.03393	-2.7837	-2.50617	-0.839295	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.46657
5.89387	-7.9216	-2.76984	-2.50712	-0.771901	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	2.88984
6.02541	-7.81736	-2.78938	-2.54538	-0.765823	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.421441
6.11805	-7.70388	-2.76901	-2.53357	-0.684729	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.20758
6.24679	-7.60605	-2.78123	-2.56614	-0.678844	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.217027
6.34903	-7.50003	-2.7642	-2.55965	-0.611752	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	2.98227
6.47341	-7.40912	-2.76786	-2.58756	-0.606289	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.133004
6.58822	-7.32683	-2.7725	-2.61162	-0.600622	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.752856
6.71685	-7.23792	-2.79444	-2.63429	-0.592058	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.540921
6.79118	-7.10638	-2.748	-2.57226	-0.448524	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	14.2881
6.91143	-7.01217	-2.7499	-2.58767	-0.440015	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.347061
7.04314	-6.93416	-2.75248	-2.61284	-0.441207	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0247404
7.17273	-6.83903	-2.76394	-2.62639	-0.430735	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.433655
7.26543	-6.72313	-2.73122	-2.58087	-0.323259	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	8.15492
7.38791	-6.62855	-2.73637	-2.58915	-0.314345	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.309073
7.53589	-6.58736	-2.76237	-2.65696	-0.396294	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.99415
7.65884	-6.51268	-2.76979	-2.67092	-0.390595	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.129787
7.7784	-6.42866	-2.75611	-2.66845	-0.355464	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.03013
7.90452	-6.36105	-2.74695	-2.68581	-0.353957	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.14504
8.02889	-6.2844	-2.73527	-2.68596	-0.323984	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.709932
8.16095	-6.20478	-2.74054	-2.69509	-0.315721	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.220747
8.24985	-6.10732	-2.70717	-2.65121	-0.225002	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	6.4331
8.36553	-6.02483	-2.71445	-2.651	-0.214113	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.381677
8.51475	-5.97061	-2.73355	-2.69177	-0.26027	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.91508
8.65205	-5.89721	-2.7403	-2.70147	-0.255722	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0681231
8.75347	-5.79387	-2.70378	-2.65353	-0.161153	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.27582
8.88119	-5.70762	-2.7097	-2.65199	-0.151266	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.27281
8.97702	-5.61475	-2.6864	-2.61371	-0.0809296	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.00128
9.08787	-5.52799	-2.69219	-2.60581	-0.0697118	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.377338
9.22875	-5.46719	-2.70955	-2.64067	-0.121272	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.30767
9.35751	-5.3813	-2.71616	-2.6386	-0.113043	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.182748
9.45122	-5.26984	-2.68118	-2.58288	-0.0201837	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.86474
9.5731	-5.17894	-2.68587	-2.57607	-0.0127572	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.145567
9.67493	-5.07588	-2.6642	-2.53481	0.0525001	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	3.64936
9.78979	-4.97917	-2.66749	-2.52334	0.0604768	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.179815
9.8856	-4.86696	-2.6495	-2.4767	0.126063	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.23356
9.99356	-4.76954	-2.64822	-2.46414	0.131246	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.109876
10.0765	-4.64422	-2.63133	-2.40649	0.204814	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.71612
10.1772	-4.52602	-2.64008	-2.38243	0.216488	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.37933
10.2626	-4.40137	-2.63437	-2.33754	0.263061	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.47885
10.3624	-4.26774	-2.65508	-2.30846	0.275961	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.616748
10.4822	-4.17456	-2.66751	-2.3244	0.229571	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.53378
10.5754	-4.04104	-2.6819	-2.29675	0.242814	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.57761
10.673	-3.92642	-2.68537	-2.28143	0.244932	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0627793
10.7671	-3.80043	-2.69514	-2.26108	0.25088	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.145024
10.8191	-3.65254	-2.68021	-2.18483	0.343757	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.54605
10.8946	-3.51653	-2.68658	-2.15601	0.352536	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.263489
10.9956	-3.42122	-2.69665	-2.18103	0.286207	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	3.17313
